,Cumulative theta,Abs Cumulative Theta,Cumulative logfc,Abs Cumulative logfc,tau2,pval.adj,theta_GSE143752,theta_GSE186835,theta_GSE287994,theta_GSE99511,sp2_GSE143752,sp2_GSE186835,sp2_GSE287994,sp2_GSE99511
MON2,-0.664907,0.664907,-0.064453,0.064453,0.000000,0.000000,-0.372186,-0.083473,-0.871017,-0.161714,0.172468,4.865878,0.059801,0.308728
DOLK,0.662274,0.662274,0.123994,0.123994,0.000000,0.002732,0.176987,-0.181672,-0.127106,0.905439,0.697722,1.363890,1.215738,0.123836
CYB561D1,0.660945,0.660945,0.077224,0.077224,0.066037,0.000426,1.087403,-0.088330,0.507702,-0.123618,0.070727,1.168737,0.062138,0.530220
KLHDC8B,-0.659063,0.659063,-0.019176,0.019176,0.047831,0.000199,-0.075889,0.166844,-0.219493,-1.006137,0.251657,1.840111,0.464058,0.059178
PNRC1,0.658032,0.658032,0.057520,0.057520,0.000000,0.000448,0.310514,-0.063560,0.113624,0.854517,0.184486,0.410948,1.178383,0.047904
SLC22A4,-0.654359,0.654359,-0.062178,0.062178,0.000000,0.000001,-0.275770,-0.149731,-0.840133,-0.704400,0.224550,4.782751,0.116979,0.246015
ADSL,-0.653766,0.653766,-0.015277,0.015277,0.000000,0.007558,-0.454655,-0.152355,-0.871825,-0.716331,0.033464,2.242090,0.043068,0.056347
ZFP37,0.652201,0.652201,0.156220,0.156220,0.000000,0.000000,0.956462,0.016419,0.361092,0.378072,0.162665,3.021002,0.604986,0.232543
SLC25A42,0.648108,0.648108,0.093471,0.093471,0.195098,0.000000,1.285829,0.023395,0.060018,-0.001004,0.072396,3.580976,0.367025,0.358554
LOC100128640,0.646041,0.646041,0.089616,0.089616,0.000000,0.000000,0.280688,0.462281,0.859363,-0.006751,0.317969,2.216649,0.101090,0.743252
CD82,0.645604,0.645604,0.105338,0.105338,0.000000,0.006711,0.575146,-0.192723,0.485343,1.027376,0.182402,1.590286,0.244274,0.243243
FDX1,-0.642894,0.642894,-0.037002,0.037002,0.000000,0.000376,-0.102946,0.065690,-0.634561,-0.982568,0.357967,2.615095,0.226361,0.187029
COQ10A,-0.640675,0.640675,-0.096407,0.096407,0.000000,0.000230,-0.388623,-0.337004,-0.190840,-0.831993,0.247060,1.193377,0.292431,0.068014
MRS2,-0.638220,0.638220,-0.018762,0.018762,0.428603,0.003337,-0.290152,0.212788,-0.477110,-1.673623,0.064398,0.565985,0.042541,0.115311
SLC46A3,0.635356,0.635356,0.651124,0.651124,0.000000,0.008058,0.684866,0.288958,0.574520,0.664082,0.946851,5.859628,2.996909,1.058983
PSMD12,-0.634087,0.634087,-0.244036,0.244036,0.000000,0.000061,-0.418895,-0.029941,-0.060603,-1.003860,0.580193,0.965280,0.854830,0.221733
SNORD104,0.632516,0.632516,0.036189,0.036189,0.059305,0.000000,1.024052,0.030253,0.346476,0.434427,0.035195,0.596942,0.075815,0.119381
WBSCR22,0.631880,0.631880,-0.030142,0.030142,0.000000,0.005383,-0.059152,-0.035321,0.254041,0.844083,0.507481,2.180961,0.556212,0.090417
ZDBF2,0.631478,0.631478,0.237660,0.237660,0.000000,0.000000,0.738693,0.123410,0.412362,0.776686,0.320417,1.009268,0.707172,0.303378
BDP1,-0.631477,0.631477,-0.088919,0.088919,0.240767,0.000002,-0.239158,0.136271,0.079366,-1.326878,0.370282,1.224460,0.410460,0.067265
ING3,0.628410,0.628410,0.030440,0.030440,0.601199,0.000017,0.087230,-0.288266,0.480580,1.704047,0.347542,0.380633,0.229683,0.038309
TMEM127,0.627284,0.627284,0.074198,0.074198,0.155929,0.000003,0.276625,-0.260206,0.321322,1.167748,0.267132,0.594669,0.296031,0.045122
C3orf18,-0.627122,0.627122,0.011235,0.011235,0.000000,0.000757,0.025441,-0.005510,-0.829120,-0.323390,0.439794,2.816496,0.100451,0.991253
SNRPE,0.626639,0.626639,0.050329,0.050329,0.000000,0.000058,0.496634,-0.209825,0.719127,0.798421,0.100926,0.727120,0.074324,0.143860
S100PBP,0.622384,0.622384,0.051954,0.051954,0.000000,0.005663,0.209330,-0.048076,-0.021211,0.791005,0.247180,2.615241,0.341005,0.044202
TTLL3,0.621122,0.621122,0.075128,0.075128,0.000000,0.000000,0.731921,0.289370,0.778593,-0.084203,0.102227,1.178422,0.092622,0.281851
NCRNA00219,0.620616,0.620616,0.063014,0.063014,0.000000,0.009487,0.898312,-0.307447,0.599218,0.509731,0.069861,0.646568,0.063945,0.050289
SNORA13,0.620616,0.620616,0.063014,0.063014,0.000000,0.009487,0.898312,-0.307447,0.599218,0.509731,0.069861,0.646568,0.063945,0.050289
PCNXL3,-0.619360,0.619360,-0.081501,0.081501,0.000000,0.000121,-0.103347,0.010980,-0.451706,-0.836361,0.785398,1.876918,0.517909,0.164824
COQ2,-0.617749,0.617749,-0.027537,0.027537,0.496616,0.000000,-0.054314,-0.057202,-0.047667,-1.636161,0.504925,0.329305,0.375407,0.040802
APBB1,0.615893,0.615893,0.113930,0.113930,0.000000,0.000004,0.621647,0.272231,0.426032,0.711287,0.182523,1.397262,0.620924,0.183379
DCI,-0.613530,0.613530,-0.065148,0.065148,0.269684,0.000000,-0.091185,0.112537,0.073502,-1.326703,0.711550,0.917136,0.388401,0.056249
C20orf201,0.613469,0.613469,0.204010,0.204010,0.000000,0.000001,0.744118,0.202041,0.289983,0.427238,0.273045,10.189310,1.022977,1.527893
C9orf89,0.613108,0.613108,0.113086,0.113086,0.000000,0.000551,0.229264,0.551707,0.637954,0.777293,0.491245,0.140251,0.329308,0.143554
HSPB6,0.610594,0.610594,0.049638,0.049638,0.000000,0.000000,0.821199,0.050562,0.506496,-0.008239,0.060199,1.802107,0.058292,0.441422
MED26,-0.609388,0.609388,0.029718,0.029718,1.086178,0.000531,0.152653,-0.119277,0.079576,-2.151361,0.193881,1.866639,0.104316,0.064531
GBAS,-0.609051,0.609051,-0.092241,0.092241,0.000000,0.000009,-0.582806,-0.347336,-0.306203,-0.812164,0.157624,0.881498,0.277776,0.130732
PRKAG1,0.607384,0.607384,0.023603,0.023603,0.000000,0.002622,0.582316,0.096475,0.689039,0.528745,0.040367,4.190993,0.067799,0.170408
ABCF3,0.607309,0.607309,0.183528,0.183528,0.000000,0.000000,0.791675,0.214783,0.579179,0.139049,0.230877,2.476132,0.211787,0.923222
C18orf32,0.605533,0.605533,0.052532,0.052532,0.000000,0.005942,0.172631,0.392095,0.814703,0.295770,0.303062,1.152685,0.095045,0.527557
ERGIC1,0.599708,0.599708,0.035928,0.035928,0.050124,0.000000,0.162043,0.172424,1.088681,0.432313,0.220815,0.340320,0.090703,0.169429
L2HGDH,0.599306,0.599306,0.044022,0.044022,0.000000,0.009919,0.065383,-0.139276,0.308343,0.761898,0.670552,2.329454,0.630931,0.103267
REXO1,-0.599295,0.599295,-0.003571,0.003571,0.122393,0.002241,-0.009969,0.205163,-0.166852,-1.151761,0.356740,1.712403,0.303236,0.083410
HIST1H3B,0.597399,0.597399,0.036458,0.036458,0.146107,0.000211,0.108883,0.080627,0.231547,1.259480,0.333467,0.428762,0.343411,0.102333
NCDN,-0.593835,0.593835,-0.053962,0.053962,0.164788,0.000000,-0.438660,0.148875,-0.222455,-1.229216,0.122514,0.500293,0.196784,0.071945
ACADSB,0.592617,0.592617,0.093671,0.093671,0.000000,0.000288,0.273445,0.311072,0.299905,1.022540,0.341161,0.421356,0.353099,0.176726
CLN6,0.590888,0.590888,0.042891,0.042891,0.000000,0.000157,0.196371,-0.259868,0.763125,0.577395,0.217529,1.638728,0.068983,0.082273
DNAJB1,0.590705,0.590705,0.067770,0.067770,0.000000,0.000014,0.441052,0.451144,0.834283,0.447159,0.153028,0.746989,0.148304,0.300529
S100A10,0.589034,0.589034,0.049072,0.049072,0.000720,0.001311,0.892925,0.237820,0.336027,0.440725,0.054732,1.145224,0.056913,0.188486
PHF11,0.588431,0.588431,0.106751,0.106751,0.000000,0.000016,0.487239,-0.140440,0.466408,0.815058,0.218200,0.875785,0.235814,0.124969
CTSL1,0.587700,0.587700,0.312265,0.312265,0.000000,0.000069,0.702454,-0.008558,0.359499,0.686999,0.442721,1.470183,0.668933,0.203688
ARPM1,-0.587322,0.587322,-0.130072,0.130072,0.000000,0.005785,-0.086804,-0.524052,-0.152052,-0.818017,1.492344,1.385583,1.159071,0.304915
CEP164,-0.583966,0.583966,0.028644,0.028644,0.119089,0.000176,0.081396,0.077429,0.136949,-1.019710,0.350471,1.447142,0.734882,0.043291
CREB3L2,0.582125,0.582125,0.047017,0.047017,0.000000,0.000001,0.664024,-0.014062,0.208962,0.600127,0.070518,3.028190,0.316351,0.083702
RAI1,0.581673,0.581673,0.051371,0.051371,0.000000,0.000001,0.792373,0.292358,0.440411,0.217398,0.064568,1.145700,0.117197,0.201774
EID2B,-0.576857,0.576857,-0.088476,0.088476,0.000000,0.000007,-0.792775,-0.053970,-0.312889,-0.522060,0.111148,0.881080,0.229906,0.272611
DMC1,-0.576408,0.576408,-0.088590,0.088590,0.000000,0.000006,-0.765217,0.055321,-0.316403,-0.044456,0.115299,3.202949,0.230531,1.702375
IMPA2,0.575074,0.575074,0.113693,0.113693,0.000000,0.000000,0.420248,-0.292586,0.652149,0.624682,0.269434,3.290242,0.185681,0.117207
SEPW1,0.574686,0.574686,0.082284,0.082284,0.000000,0.000003,0.763572,0.101611,0.312311,0.067449,0.107322,1.865657,0.370813,0.634949
CLCF1,0.573290,0.573290,0.053828,0.053828,0.000000,0.001876,0.064163,-0.072293,0.252697,0.828070,0.835500,9.259999,0.395400,0.171006
ZNF215,0.572981,0.572981,0.197226,0.197226,0.000000,0.000211,0.575522,0.396311,0.225088,0.676215,0.341292,1.601142,2.696672,0.445158
CCDC104,-0.570149,0.570149,-0.035104,0.035104,0.000000,0.000048,-0.277209,-0.368879,-0.318786,-0.905962,0.126117,1.481829,0.132928,0.077206
PRPF18,0.568599,0.568599,0.097010,0.097010,0.092069,0.000391,0.091818,-0.079210,-0.046419,1.044431,1.052231,0.222802,2.210802,0.081522
PDAP1,0.567519,0.567519,0.114217,0.114217,0.000000,0.000128,0.552783,-0.058138,0.310648,0.698340,0.205778,1.239243,0.363722,0.101988
SMAD5,0.566034,0.566034,0.024874,0.024874,0.000000,0.000000,0.646203,-0.104371,0.485896,0.414737,0.038336,2.634086,0.061014,0.289145
INF2,-0.565952,0.565952,-0.109477,0.109477,0.162706,0.000009,-0.300818,-0.153952,0.190742,-1.114787,0.362448,1.076669,0.272555,0.050369
ARRB1,0.565294,0.565294,0.169693,0.169693,0.000000,0.000010,0.607244,0.232437,0.287488,0.810674,0.278307,0.541878,2.005852,0.407588
CDC42SE1,0.565026,0.565026,0.071764,0.071764,0.000000,0.000000,0.474449,0.326207,0.577648,0.708940,0.150639,0.125264,0.090367,0.060771
ING2,0.561006,0.561006,0.084228,0.084228,0.000000,0.003063,0.574710,-0.119698,0.311006,0.879926,0.145959,0.473616,0.100240,0.083109
TWSG1,0.558021,0.558021,0.021971,0.021971,0.000000,0.001511,0.529762,0.299943,0.622796,0.572239,0.041303,1.406460,0.090919,0.091596
URGCP,-0.557472,0.557472,-0.041261,0.041261,0.000000,0.007965,-0.177021,-0.298267,0.067954,-0.800155,0.232136,0.910785,0.452555,0.073418
DNTTIP2,-0.553929,0.553929,-0.110328,0.110328,0.000000,0.004074,-0.305242,0.379379,-0.289445,-1.026806,0.359969,1.427266,0.422364,0.239921
POLR2G,0.553384,0.553384,0.036569,0.036569,0.000000,0.000019,0.693382,-0.094737,0.224357,0.526592,0.052525,1.413810,0.155938,0.276425
ARID5B,0.552470,0.552470,0.065250,0.065250,0.000000,0.008349,0.491571,0.512468,0.890953,-0.159316,0.132196,0.324107,0.338980,1.717468
PSMC6,-0.551849,0.551849,-0.023126,0.023126,0.069134,0.000000,-0.287460,0.166645,-0.875417,-0.688158,0.080122,0.278069,0.047095,0.059842
NUTF2,0.551768,0.551768,0.030658,0.030658,0.000000,0.000046,0.487800,0.032423,0.547474,0.783963,0.062594,2.003857,0.050865,0.170036
FIS1,-0.547021,0.547021,-0.017787,0.017787,0.015296,0.005871,-0.087476,-0.024533,-0.247449,-0.920987,0.202501,1.851997,0.188418,0.081578
PRELID1,0.546955,0.546955,0.210753,0.210753,0.000000,0.003774,0.482903,-0.073261,0.047513,0.902199,0.434648,3.850812,1.503105,0.554464
C21orf57,0.546318,0.546318,0.035109,0.035109,0.000000,0.000000,0.591987,-0.346247,0.644230,0.345494,0.059066,1.185837,0.049839,0.101168
MAEA,0.545505,0.545505,0.158521,0.158521,0.000000,0.000007,0.674782,0.421781,0.602652,0.144361,0.233963,0.995671,0.497660,0.738587
CCDC64,0.545001,0.545001,0.137924,0.137924,0.000000,0.005261,0.434903,-0.070247,0.116611,0.721719,0.315843,1.208529,0.613369,0.113565
PDE4DIP,0.543649,0.543649,0.133113,0.133113,0.000000,0.000131,0.602861,-0.017564,0.898360,0.078937,0.219901,2.588268,0.278360,0.350270
BUD31,0.538632,0.538632,0.114217,0.114217,0.000000,0.000034,0.552783,-0.054793,0.456393,0.629112,0.205778,1.405526,0.185247,0.113473
WASH2P,0.537910,0.537910,0.097667,0.097667,0.000000,0.000060,0.526396,-0.076346,0.801638,0.345489,0.184783,4.004923,0.209912,0.184898
IARS2,0.535830,0.535830,-0.033804,0.033804,0.424378,0.000000,-0.073945,0.040352,-0.093429,1.459560,0.455287,0.117658,1.103205,0.033089
PTGER2,0.535264,0.535264,0.177059,0.177059,0.000000,0.000002,0.651358,0.279447,0.428367,0.401541,0.270721,4.919057,0.717688,0.586813
EI24,0.534927,0.534927,0.150348,0.150348,0.000000,0.007699,0.447302,0.140554,0.770157,-0.054313,0.334750,5.358183,0.375292,2.021892
SLC16A14,0.533415,0.533415,0.059974,0.059974,0.000000,0.000017,0.537206,-0.121089,0.398877,0.661329,0.111185,8.445120,0.131593,0.120018
FAM115A,0.532893,0.532893,0.039780,0.039780,0.000000,0.001606,0.602204,-0.264514,0.725967,-0.064458,0.065787,1.683069,0.090038,0.219279
BCL2L1,-0.532728,0.532728,-0.049074,0.049074,0.000000,0.001977,-0.355187,0.512913,-0.702323,-0.537026,0.137600,1.374494,0.083392,0.248350
SAP130,0.531814,0.531814,0.082876,0.082876,0.000000,0.000033,0.583904,0.641150,0.696660,0.099466,0.141354,0.544172,0.134180,0.240463
FAM46A,0.529709,0.529709,0.128015,0.128015,0.000000,0.007314,0.412515,0.121216,0.500698,0.616327,0.309061,0.760690,0.211470,0.082229
GDF9,-0.526791,0.526791,0.043339,0.043339,0.000000,0.009871,0.072487,-0.632511,-0.045235,-0.592889,0.595449,0.147721,1.484831,0.107463
TNKS1BP1,-0.526011,0.526011,-0.052909,0.052909,0.000000,0.000000,-0.265751,-0.013429,-0.718805,-0.543035,0.198282,0.945246,0.106313,0.411155
ESRRA,0.523770,0.523770,0.010007,0.010007,0.000000,0.003115,0.040678,0.171604,0.774792,0.534649,0.245002,1.483483,0.117927,0.135067
HPSE2,0.520542,0.520542,0.033039,0.033039,0.000000,0.003344,0.208133,-0.228169,0.245050,0.807501,0.158092,3.905619,0.192469,0.079729
RELA,0.512637,0.512637,-0.010783,0.010783,0.096983,0.001190,-0.033122,0.188101,0.015718,0.980280,0.324225,2.424366,0.205424,0.055462
HIST1H2BB,0.509620,0.509620,0.112137,0.112137,0.000000,0.000874,0.510977,0.451785,0.211775,0.585933,0.218560,3.024540,1.020124,0.250304
TACC3,0.509087,0.509087,0.120443,0.120443,0.000000,0.000251,0.641987,0.075467,0.254150,-0.057610,0.186844,6.699769,0.723865,1.925031
ANKRD54,0.508109,0.508109,0.015157,0.015157,0.000000,0.000049,0.569777,0.261436,0.339633,0.521449,0.026492,1.325855,0.070204,0.051697
ZNF420,0.507091,0.507091,0.095651,0.095651,0.000000,0.000020,0.610312,0.106781,0.338473,0.434480,0.156085,3.265450,0.655744,0.257869
ARID4B,0.504949,0.504949,0.106513,0.106513,0.000000,0.000896,0.458762,0.018956,0.578447,0.426256,0.231227,3.917078,0.151172,0.484660
FAM102B,0.504772,0.504772,0.034985,0.034985,0.030693,0.002749,0.260685,-0.413494,0.008315,0.805119,0.133656,0.599243,0.922401,0.056018
TEP1,-0.504765,0.504765,-0.038043,0.038043,0.000000,0.004695,-0.214730,-0.045860,-0.527048,-0.870803,0.176445,0.644798,0.209638,0.162743
IP6K1,0.502023,0.502023,0.090869,0.090869,0.000000,0.006891,0.199512,0.194723,0.470803,0.660610,0.453598,0.634550,0.414668,0.129302
SKIL,0.501929,0.501929,0.222174,0.222174,0.000000,0.009403,0.432483,0.173210,0.099112,0.638608,0.511619,4.103483,0.519999,0.137992
RAD51AP1,-0.501919,0.501919,-0.062279,0.062279,0.000000,0.007046,-0.155314,-0.413576,-0.322120,-0.650179,0.399350,0.940003,0.562643,0.115696
FLJ45983,0.498253,0.498253,0.054281,0.054281,0.000000,0.003652,0.354430,0.554228,0.152720,0.610302,0.152525,0.371192,0.330571,0.060982
SEC16A,0.495170,0.495170,0.035709,0.035709,0.000000,0.000473,0.225726,-0.336004,0.371409,0.688257,0.157550,1.687651,0.169688,0.065853
SLC9A1,0.494675,0.494675,0.072297,0.072297,0.000000,0.000107,0.505070,0.164131,0.646968,-0.029225,0.142557,2.459610,0.154135,0.565413
ARPP19,0.494648,0.494648,0.083301,0.083301,0.000000,0.002949,0.351273,-0.411809,0.114099,0.708777,0.236171,2.415493,0.511813,0.124070
C7orf26,0.494341,0.494341,0.152623,0.152623,0.000000,0.002338,0.682104,-0.171520,0.572042,-0.076548,0.222840,2.599440,0.142451,0.504368
REC8,0.493920,0.493920,0.160197,0.160197,0.000000,0.000267,0.198256,0.425688,0.422837,0.697824,0.804735,1.916584,0.973096,0.428320
FKBP11,0.493214,0.493214,0.104020,0.104020,0.000000,0.002241,0.350569,0.209521,0.209305,0.675736,0.295505,1.683446,0.374853,0.129575
FBXL14,-0.490731,0.490731,-0.091991,0.091991,0.000000,0.000000,-0.235353,0.113723,-0.789593,-0.291734,0.389267,1.109758,0.097161,0.106120
EIF3A,0.489934,0.489934,0.077068,0.077068,0.160848,0.000075,0.133617,-0.363788,0.045559,1.026921,0.574426,0.526567,0.358312,0.047086
PRPF40B,-0.487429,0.487429,-0.071085,0.071085,0.000000,0.000035,-0.351550,-0.268010,-0.452675,-0.581083,0.201378,1.075901,0.225355,0.090670
SLC25A35,-0.487232,0.487232,-0.026777,0.026777,0.000000,0.003581,-0.291184,-0.156272,-0.182000,-0.812495,0.091585,0.932787,0.205810,0.081755
GFOD2,0.486330,0.486330,0.051413,0.051413,0.000000,0.000038,0.639645,-0.087567,0.054324,0.502601,0.080049,1.608867,0.250397,0.097580
ABHD3,0.484037,0.484037,0.083322,0.083322,0.000000,0.000021,0.640141,0.025016,0.415734,0.441713,0.129630,2.107999,0.133333,0.089257
GOLPH3,0.483334,0.483334,0.030394,0.030394,0.000000,0.005413,0.175056,-0.418243,0.352230,0.695560,0.172915,1.136282,0.153576,0.061875
SNX13,-0.482511,0.482511,-0.050667,0.050667,0.000000,0.003010,-0.414710,-0.648425,-0.396120,-0.461202,0.121675,0.098240,0.140965,0.041076
C12orf4,-0.482020,0.482020,-0.062279,0.062279,0.000000,0.000664,-0.155314,-0.335431,-0.427789,-0.684187,0.399350,1.490389,0.341140,0.187988
EIF3K,-0.480816,0.480816,-0.124145,0.124145,0.000000,0.000782,-0.385142,-0.253627,-0.805163,-0.301232,0.321019,1.411250,0.304905,0.296958
VPS26B,-0.480446,0.480446,0.021756,0.021756,0.073180,0.001117,0.101970,-0.300338,-0.111948,-0.836561,0.212481,0.688475,0.205052,0.025748
IKZF5,0.480262,0.480262,0.093671,0.093671,0.000000,0.003494,0.273445,0.256426,0.258366,0.812802,0.341161,0.431101,0.314991,0.181728
DAZAP1,-0.475332,0.475332,0.081189,0.081189,0.044340,0.009394,0.079486,0.009187,-0.069632,-0.803339,1.017254,0.125611,1.295553,0.044881
MAGIX,0.474608,0.474608,0.027011,0.027011,0.000000,0.002376,0.171931,0.513548,0.749224,0.371331,0.156461,0.097936,0.132334,0.191868
PPP1R12C,-0.473592,0.473592,-0.079449,0.079449,0.000000,0.005339,-0.583212,-0.007939,-0.688010,-0.289740,0.135671,1.224615,0.185622,0.116152
TMEM147,0.472833,0.472833,0.031519,0.031519,0.000000,0.000028,0.283615,-0.332335,0.654782,0.490657,0.110678,1.418769,0.085270,0.124350
C14orf43,-0.472815,0.472815,-0.067805,0.067805,0.000000,0.002336,-0.441563,-0.203086,-0.436152,-0.525960,0.152930,2.294703,0.369689,0.126217
ADORA3,0.471317,0.471317,0.258498,0.258498,0.000000,0.002377,0.371340,0.543356,0.402762,0.535071,0.693282,1.330863,1.449154,0.464055
EPS15,0.471180,0.471180,0.217771,0.217771,0.000000,0.000105,0.693878,-0.053029,0.444108,0.319402,0.312565,1.465378,0.262255,0.603408
NRL,0.468934,0.468934,0.116832,0.116832,0.000000,0.000309,0.653140,0.265505,0.073583,-0.135599,0.178148,4.855160,1.216739,0.906102
TNFAIP8L1,0.468771,0.468771,0.042349,0.042349,0.000000,0.004184,0.202697,0.060827,0.792919,0.162011,0.208076,2.737845,0.160981,0.523623
C1orf194,0.467555,0.467555,0.098064,0.098064,0.199382,0.000000,1.079068,0.503804,0.451538,-0.337170,0.090507,0.526645,0.228876,0.179848
CTSD,0.464147,0.464147,0.086300,0.086300,0.000000,0.000028,0.261983,0.068217,0.617132,0.426772,0.328066,3.527404,0.152334,0.135520
PPP1R3E,-0.464069,0.464069,-0.040151,0.040151,0.083144,0.006838,-0.104226,-0.147253,0.097585,-0.895749,0.383663,4.592086,0.155367,0.052033
C11orf61,-0.462941,0.462941,-0.075637,0.075637,0.000000,0.000260,-0.168221,0.023621,-0.482352,-0.557029,0.447794,2.696757,0.135862,0.135239
ZFYVE21,0.462620,0.462620,0.042087,0.042087,0.015923,0.000001,0.796761,0.112220,0.310426,0.087132,0.052607,0.438735,0.061191,0.160234
L3MBTL2,0.462519,0.462519,0.111502,0.111502,0.000000,0.000010,0.738132,0.233764,0.161134,0.399083,0.150443,1.895108,0.209023,0.235454
KIAA0319L,-0.461179,0.461179,-0.053962,0.053962,0.000000,0.009284,-0.438660,0.106320,-0.020741,-0.672126,0.122514,1.562998,0.686916,0.177554
CEP152,-0.457367,0.457367,-0.016451,0.016451,0.000000,0.001149,-0.325819,0.066948,-0.694164,-0.094582,0.050284,0.598926,0.041431,0.163124
TLE3,0.455508,0.455508,0.028406,0.028406,0.000000,0.006707,0.470907,0.030398,0.586570,-0.208633,0.060076,2.482359,0.123505,0.579402
ACVR2B,0.453810,0.453810,0.121771,0.121771,0.000000,0.002822,0.230052,0.462281,0.554598,-0.006751,0.527158,2.216649,0.096884,0.743252
RAD51,0.452117,0.452117,0.087620,0.087620,0.000000,0.000190,0.618410,0.248038,0.347966,0.278418,0.141107,0.757412,0.240730,0.364611
IFIT5,0.451212,0.451212,0.155841,0.155841,0.000000,0.003284,0.629479,-0.026678,0.323116,-0.157015,0.246560,23.922760,0.254310,3.051202
ENO2,0.450960,0.450960,0.134869,0.134869,0.000000,0.003010,0.446107,0.315626,0.170446,0.730020,0.301090,0.717001,0.291132,0.238840
ZNF438,0.447644,0.447644,0.183801,0.183801,0.000000,0.002658,0.406295,0.108045,0.550172,0.486410,0.450538,1.125630,0.400272,0.282278
ROPN1L,0.446053,0.446053,0.225424,0.225424,0.000000,0.000483,0.775873,0.196479,0.358577,0.193742,0.289356,2.497371,0.326944,0.326679
LUC7L3,0.445617,0.445617,0.107657,0.107657,0.000000,0.007549,0.488049,0.467002,0.484948,-0.066273,0.219685,3.445408,0.448234,1.782922
PRDM5,0.443888,0.443888,0.118425,0.118425,0.000000,0.000705,0.574637,-0.177128,0.429903,0.023939,0.205245,2.550838,0.565659,1.138518
DGAT2,-0.441077,0.441077,-0.046280,0.046280,0.000000,0.001528,-0.179027,0.262820,-0.645020,-0.069556,0.257451,1.400915,0.088503,0.473854
TPD52L2,0.437635,0.437635,0.156172,0.156172,0.000000,0.000402,0.604754,0.285766,0.428534,0.110295,0.257186,1.060991,0.858280,0.659886
CCDC150,-0.437505,0.437505,-0.055749,0.055749,0.000000,0.008058,-0.203539,-0.645694,-0.274198,-0.630346,0.272782,1.100237,0.406336,0.180161
NDUFB7,-0.436426,0.436426,-0.045892,0.045892,0.000000,0.001441,-0.276627,-0.388421,-0.567869,-0.502497,0.165220,0.746569,0.207395,0.166128
ZNF627,0.434334,0.434334,0.065116,0.065116,0.000000,0.006518,0.529765,0.115808,0.256487,0.030745,0.122413,2.952507,0.658845,1.004548
TRAF4,-0.434222,0.434222,-0.113781,0.113781,0.000000,0.000025,-0.636439,-0.081503,-0.404955,-0.292939,0.178048,1.231251,0.177609,0.206407
SGSM2,-0.433939,0.433939,-0.128621,0.128621,0.000000,0.003071,-0.739705,0.119152,0.006506,-0.280418,0.173172,1.965062,0.377445,0.483830
TSR1,-0.433358,0.433358,-0.128621,0.128621,0.000000,0.003650,-0.739705,0.083586,-0.114839,-0.228336,0.173172,2.821151,0.241389,0.769978
RFX3,0.432359,0.432359,0.233022,0.233022,0.000000,0.000467,0.613857,-0.116880,0.264307,0.142982,0.378054,7.847355,0.524687,3.222292
LOC100306951,0.431343,0.431343,0.133412,0.133412,0.000000,0.005513,0.397990,0.153395,0.422465,0.473196,0.333847,2.918895,0.549805,0.198093
FBXO30,-0.429786,0.429786,-0.180550,0.180550,0.000000,0.000003,-0.467724,0.023409,-0.550589,-0.223420,0.384443,8.981311,0.256681,0.397734
ERP44,0.427595,0.427595,0.035604,0.035604,0.000000,0.000211,0.591350,-0.263891,0.195391,0.499133,0.059963,1.418649,0.070698,0.068727
ZNF546,0.426898,0.426898,0.195168,0.195168,0.000000,0.000109,0.665248,0.053241,0.055326,0.337676,0.292179,1.693853,0.970100,0.420567
SPAG9,0.425620,0.425620,0.082786,0.082786,0.000000,0.000369,0.351758,-0.048149,0.521753,-0.130894,0.234389,2.404988,0.096104,1.139979
NDUFS4,0.421573,0.421573,0.183278,0.183278,0.000000,0.001126,0.569246,0.030395,0.466876,0.294978,0.320652,2.831787,0.189312,0.225374
ADPGK,0.419973,0.419973,0.036087,0.036087,0.000000,0.002620,0.486581,0.056081,0.233607,0.406617,0.073861,1.768338,0.324490,0.109752
PPP1R9B,-0.419878,0.419878,-0.042103,0.042103,0.000000,0.001756,-0.287034,0.196923,-0.329683,-0.583649,0.146085,2.018456,0.185057,0.096204
HIST1H3J,0.419437,0.419437,0.122461,0.122461,0.000000,0.000206,0.644638,0.141912,0.358441,0.194487,0.189193,1.861595,0.533778,0.242672
ZNF396,-0.418555,0.418555,-0.215204,0.215204,0.000000,0.005785,-0.397253,0.054458,-0.242157,-0.693551,0.539520,1.609818,0.472766,0.389273
SVIP,0.417970,0.417970,0.212881,0.212881,0.000000,0.003306,0.547396,0.247731,0.342490,0.381106,0.387310,2.095591,0.773934,0.237214
NT5DC3,-0.417481,0.417481,-0.050769,0.050769,0.000000,0.003662,-0.393521,-0.124452,-0.288547,-0.565001,0.128486,0.960952,0.163461,0.115234
C7orf20,0.417179,0.417179,0.101345,0.101345,0.000000,0.003071,0.536429,-0.099068,-0.030812,0.455002,0.188155,3.182193,0.612931,0.145841
C20orf96,0.415339,0.415339,0.077971,0.077971,0.000000,0.008977,0.438269,-0.072411,0.409170,0.435783,0.177180,3.880480,0.180728,0.672175
C22orf41,-0.415260,0.415260,-0.130397,0.130397,0.000000,0.000004,-0.338107,-0.156975,-0.627056,-0.089363,0.384093,4.341880,0.279787,0.656216
NPHP1,0.413732,0.413732,0.034141,0.034141,0.000000,0.009284,0.513075,0.088250,-0.111730,-0.245784,0.066270,3.287829,0.947498,0.780044
