,Cumulative theta,Abs Cumulative Theta,Cumulative logfc,Abs Cumulative logfc,tau2,pval.adj,theta_GSE143752,theta_GSE186835,theta_GSE287994,theta_GSE99511,sp2_GSE143752,sp2_GSE186835,sp2_GSE287994,sp2_GSE99511
RNPEPL1,-0.919212,0.919212,0.080294,0.080294,0.000000,0.000080,0.090488,0.191803,-0.144577,-1.097787,0.883722,2.273140,1.637114,0.084854
PIK3R5,0.919102,0.919102,0.257593,0.257593,0.000000,0.000000,0.746009,0.437556,0.840959,1.217303,0.343885,1.809327,0.603308,0.331697
WT1,0.915499,0.915499,0.432659,0.432659,0.000000,0.000098,0.664556,0.901906,0.800912,1.153667,0.648393,0.894426,1.331076,0.487739
PPA1,-0.909738,0.909738,-0.128438,0.128438,0.000000,0.000009,-0.165511,-0.455696,0.007673,-1.194443,0.772842,0.585734,0.773088,0.097341
NCOA6,-0.907010,0.907010,0.031211,0.031211,0.000000,0.005033,0.025686,-0.168134,0.088012,-0.977792,1.210123,4.337300,8.480360,0.066874
TMEM126B,-0.905952,0.905952,-0.010195,0.010195,0.370001,0.000000,-0.022724,-0.523818,0.096563,-1.716492,0.446814,0.240113,3.941316,0.047766
DSTN,-0.905614,0.905614,0.046688,0.046688,0.000000,0.002187,0.020399,-0.103770,-0.024232,-0.968651,2.279407,2.067447,5.460516,0.065973
MTTP,0.897760,0.897760,0.014516,0.014516,0.000000,0.000001,0.013503,-0.229468,0.033394,1.319201,1.070598,3.375537,1.888077,0.260521
ZNF410,0.892076,0.892076,0.070218,0.070218,0.527786,0.000000,0.160883,-0.041939,0.488554,1.895795,0.434674,0.826293,1.116177,0.064396
BIRC2,-0.884951,0.884951,-0.163341,0.163341,0.354349,0.000000,-0.453245,-0.005768,0.007542,-1.719454,0.358911,1.736216,0.664422,0.084436
EIF4EBP2,0.882745,0.882745,0.070159,0.070159,0.000000,0.000000,0.740397,0.704832,1.103228,0.363618,0.094372,0.595870,0.084254,0.640933
PER2,0.878456,0.878456,0.086308,0.086308,0.029186,0.007733,0.371361,1.391652,0.155902,0.798450,0.231463,0.134673,1.462600,0.084771
SFRS4,-0.873507,0.873507,-0.063013,0.063013,0.030897,0.000009,-0.105673,-0.265564,0.031827,-1.155326,0.593872,0.573368,1.288144,0.065568
TP53BP2,-0.872926,0.872926,0.010767,0.010767,0.045958,0.000015,0.011066,-0.292398,0.306811,-1.140049,0.969042,1.131523,1.034675,0.062820
ZNF677,0.868391,0.868391,0.506289,0.506289,0.000000,0.005261,0.970409,0.649797,0.643936,0.862089,0.519598,2.441412,2.253694,0.874242
